Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,593.01",-0.1%,0.4%,-0.8%,"$11,897,195,367","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,880.46",-0.2%,0.1%,-3.1%,"$5,415,883,530","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$1.00,0.1%,0.1%,0.1%,"$10,181,147,530","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.44,-0.3%,1.0%,2.6%,"$659,031,243","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999570,-0.1%,-0.1%,-0.0%,"$2,987,388,540","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475028,-0.1%,-0.1%,-2.9%,"$547,895,575","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,880.67",-0.2%,0.1%,-3.1%,"$20,541,279","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293222,-0.0%,1.1%,0.0%,"$170,259,478","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065231527850,-0.2%,0.0%,-5.4%,"$154,607,321","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.93,-0.5%,1.4%,14.0%,"$407,287,394","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.75,-0.2%,-0.3%,-8.3%,"$883,684,565","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077300673373,-0.1%,-0.1%,-0.3%,"$177,519,431","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon  MATIC,$0.738520,-0.8%,-0.9%,5.1%,"$277,049,301","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.8%,2.6%,-2.2%,"$89,962,832","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.29,-0.4%,0.2%,-1.2%,"$279,596,438","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,552.62",-0.1%,0.3%,-1.0%,"$91,221,770","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.16,-0.6%,-3.4%,0.6%,"$145,372,005","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007529405,-0.4%,-0.5%,-2.6%,"$63,898,985","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999709,0.0%,-0.1%,-0.0%,"$80,618,958","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.9%,1.2%,-3.9%,"$71,837,578","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999617,-0.0%,-0.0%,0.1%,"$3,867,423,095","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,0.0%,0.7%,2.4%,"$601,042","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.23,-0.2%,0.9%,-5.0%,"$85,473,100","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$164.06,-0.0%,-0.3%,-1.4%,"$60,565,973","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999904,-0.0%,0.1%,0.0%,"$1,802,819,428","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.21,-0.1%,-0.6%,-5.9%,"$53,643,871","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.85,-0.2%,-0.2%,-3.8%,"$80,958,329","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096856235581,-0.2%,-3.0%,-6.5%,"$43,700,432","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.29,-0.2%,0.8%,-2.2%,"$3,303,141","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,-0.1%,-2.1%,-3.5%,"$5,580,172","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.8%,-6.3%,"$62,665,991","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.7%,1.8%,-5.6%,"$13,469,938","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.4%,-2.4%,-11.6%,"$17,295,503","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048615815512,-0.0%,1.9%,-0.5%,"$15,416,083","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057337329276,-0.5%,2.3%,-0.9%,"$4,110,977","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.65,0.2%,-0.0%,-4.7%,"$14,985,342","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.05,0.0%,-0.4%,-8.2%,"$48,529,279","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.2%,0.2%,-2.3%,"$91,523,453","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018987671447,0.0%,1.8%,-5.0%,"$33,280,317","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.7%,-5.6%,"$31,564,856","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.68,-0.3%,6.7%,-6.1%,"$106,509,365","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114215,-0.4%,-0.6%,-8.8%,"$18,722,088","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.997481,-0.1%,-0.2%,-0.2%,"$5,388,584","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,025.44",-0.2%,0.2%,-3.1%,"$8,209,033","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661343,0.3%,2.7%,-5.3%,"$22,300,629","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.59,-0.1%,0.8%,-1.4%,"$8,063,965","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109321,-0.2%,-0.3%,-12.0%,"$42,329,369","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$915.83,-0.2%,-0.9%,-6.5%,"$48,879,060","$826,887,438","$922,543,980",0.90,
,49,EOS  EOS,$0.732599,-0.1%,-0.2%,-3.1%,"$76,368,249","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423513,-0.1%,1.6%,-4.4%,"$37,737,804","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.2%,0.7%,-5.6%,"$45,756,480","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token WBT,$5.45,0.1%,1.4%,2.0%,"$11,144,429","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831367,-0.2%,1.9%,-0.5%,"$13,737,188","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.65,-0.4%,-2.2%,-9.6%,"$23,535,043","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271248,-0.6%,-2.2%,-14.3%,"$70,915,313","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.756505,-0.4%,3.4%,-2.8%,"$7,050,489","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.01,0.1%,4.1%,-3.5%,"$25,542,007","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$0.999310,0.0%,-0.0%,-0.1%,"$14,915,789","$738,264,636",-,-,
,59,ImmutableX IMX,$0.698167,-0.1%,-0.2%,-7.8%,"$334,406,138","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392261,-0.3%,1.6%,-1.8%,"$34,553,741","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.47,0.5%,1.8%,-6.4%,"$4,826,067","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.6%,-0.1%,-10.8%,"$47,098,840","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.795896,-0.7%,-1.9%,-0.6%,"$23,011,530","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.95,-0.4%,2.4%,-4.1%,"$27,876,624","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.1%,0.1%,0.0%,"$1,453,122","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455067,0.2%,1.9%,-9.1%,"$10,713,122","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471976,0.2%,1.7%,-4.0%,"$12,688,811","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.0%,0.8%,-6.0%,"$17,977,877","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.04,-0.6%,3.6%,8.9%,"$22,417,911","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.9%,-2.3%,"$30,175,404","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.98,-0.2%,-2.1%,-7.1%,"$29,263,291","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001514730,-0.4%,0.6%,-12.9%,"$66,990,532","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032331013,-0.6%,-4.7%,0.2%,"$7,161,726","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593436,-0.6%,-1.8%,-7.1%,"$8,432,823","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024726809724,-0.9%,0.1%,-2.3%,"$218,417,021","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.7%,-1.1%,-6.5%,"$1,174,295","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.7%,-0.3%,-2.8%,"$436,715","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,0.0%,0.1%,0.4%,"$1,372,811","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054784353582,-1.6%,-2.2%,-11.3%,"$1,942,189","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077768016417,-0.5%,1.4%,-2.2%,"$19,859,915","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165757,-0.1%,1.0%,-5.9%,"$4,624,611","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181379,-0.1%,1.2%,-4.2%,"$4,807,174","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.59,-0.4%,-0.2%,-3.4%,"$4,980,216","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,922.11",-0.1%,0.6%,1.3%,"$6,650,748","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083077500,-0.3%,-0.3%,-4.2%,"$19,676,963","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024522290908,0.0%,-0.8%,3.4%,"$8,923,103","$480,251,219","$703,686,353",0.68,
,88,Tether Gold XAUT,"$1,936.64",0.1%,0.6%,0.7%,"$6,144,830","$477,398,820","$477,398,820",1.00,
,89,Tokenize Xchange TKX,$5.83,0.2%,-0.6%,-2.8%,"$5,266,972","$468,246,386","$585,337,250",0.80,
,90,Frax Share FXS,$6.31,-0.1%,-0.7%,-2.4%,"$10,788,579","$460,423,235","$629,740,399",0.73,
,91,Compound COMP,$66.19,-1.8%,11.9%,3.5%,"$187,961,525","$454,319,544","$662,651,489",0.69,
,92,BitTorrent BTT,$0.000000476837,-0.0%,0.4%,-1.6%,"$11,786,829","$453,671,467","$472,066,956",0.96,
,93,Frax Ether FRXETH,"$1,879.87",-0.1%,0.1%,-3.0%,"$2,075,055","$446,362,711","$446,390,932",1.00,
,94,Huobi HT,$2.72,0.0%,0.1%,-0.8%,"$9,231,898","$441,465,341","$554,713,724",0.80,
,95,Sui SUI,$0.660784,0.2%,0.5%,-3.5%,"$31,918,287","$432,775,198","$6,611,829,660",0.07,
,96,XDC Network XDC,$0.031069234275,-0.1%,-0.2%,-4.6%,"$1,895,529","$430,797,486","$1,177,350,655",0.37,
,97,Mina Protocol MINA,$0.450477,-0.8%,-9.2%,-11.9%,"$53,965,393","$420,569,700","$474,520,748",0.89,
,98,Casper Network CSPR,$0.036701062361,-0.6%,-1.9%,-6.6%,"$2,928,053","$410,290,003","$435,613,306",0.94,
,99,Conflux CFX,$0.189946,-0.8%,4.6%,-4.7%,"$18,863,788","$399,807,260","$1,007,357,576",0.40,
,100,cUSDC CUSDC,$0.022918405759,0.0%,-0.1%,0.0%,$2.94,"$387,648,563","$401,546,974",0.97,
